equipe1;equipe2;but1;but2;vict1;null;vict2
Nîmes;OlympiqueMarseille;0;2;5.25;3.8;1.71
Saint-Étienne;Lille;1;1;4.75;3.55;1.83
Nice;Dijon;1;3;1.8;3.95;4.45
Metz;Brest;0;2;2.55;3.3;2.95
Lens;AngersSCO;1;3;2.2;3.3;3.6
Lorient;Montpellier;0;1;3.35;3.6;2.15
Monaco;Nîmes;3;0;1.35;5.75;8.25
OlympiqueLyonnais;Reims;3;0;1.39;5.25;7.75
PSG;Bordeaux;2;2;1.21;7.25;13.0
OlympiqueMarseille;Nantes;3;1;2.2;3.25;3.6
Strasbourg;Rennes;1;1;3.15;3.2;2.45
Lens;Nantes;1;1;2.0;3.5;3.95
Lille;Lorient;4;0;1.59;3.95;6.25
AngersSCO;OlympiqueLyonnais;0;1;4.55;4.05;1.74
Reims;Nîmes;0;1;1.8;3.8;4.55
Montpellier;Strasbourg;4;3;2.25;3.3;3.5
Dijon;Lens;0;1;4.0;3.9;1.91
Nantes;Metz;1;1;2.2;3.25;3.65
Brest;Saint-Étienne;4;1;2.45;3.45;3.0
Monaco;PSG;3;2;4.9;4.4;1.45
Rennes;Bordeaux;0;1;1.8;3.5;4.95
OlympiqueLyonnais;Saint-Étienne;2;1;1.32;6.0;9.0
Nice;Monaco;1;2;3.55;3.8;2.05
Metz;Dijon;1;1;2.15;3.25;3.9
Nîmes;AngersSCO;1;5;2.8;3.35;2.6
Lorient;Nantes;0;2;2.55;3.25;3.0
Lens;Reims;4;4;2.2;3.25;3.6
Brest;Lille;3;2;4.05;3.9;1.87
PSG;Rennes;3;0;1.48;4.9;6.5
Bordeaux;Montpellier;0;2;2.4;3.2;3.25
Strasbourg;OlympiqueMarseille;0;1;3.05;3.2;2.5
Lille;OlympiqueLyonnais;1;1;2.75;3.3;2.7
Monaco;Bordeaux;4;0;1.69;4.0;5.0
AngersSCO;Nice;0;3;2.45;3.35;3.0
Reims;Strasbourg;2;1;2.8;3.25;2.7
Nîmes;Metz;0;1;3.0;3.0;2.7
Dijon;Lorient;0;0;3.2;3.6;2.25
Saint-Étienne;Montpellier;0;1;2.45;3.35;3.0
Nantes;PSG;0;3;7.0;5.0;1.43
Rennes;Brest;2;1;2.0;3.75;3.65
OlympiqueLyonnais;Monaco;4;1;1.74;4.1;4.45
Nice;Lille;1;1;3.7;3.45;2.05
Brest;Strasbourg;0;3;2.4;3.6;2.9
Bordeaux;Nîmes;2;0;1.8;3.6;4.8
Metz;Saint-Étienne;2;0;2.0;3.4;4.15
Montpellier;Reims;0;4;1.87;3.6;4.3
PSG;Dijon;4;0;1.1;11.5;20.25
Lorient;OlympiqueMarseille;0;1;2.75;3.25;2.7
Rennes;AngersSCO;1;2;2.1;3.3;3.85
Lille;Lens;4;0;2.0;3.3;4.2
Saint-Étienne;Nice;1;3;2.55;3.35;2.8
AngersSCO;Metz;1;1;2.1;3.2;3.95
Nantes;Brest;3;1;2.15;3.5;3.4
Monaco;Montpellier;1;1;1.77;3.9;4.55
Strasbourg;OlympiqueLyonnais;2;3;4.0;3.55;1.95
OlympiqueMarseille;Bordeaux;3;1;2.15;3.25;3.65
Reims;Lorient;1;3;2.2;3.4;3.45
Nîmes;PSG;0;4;7.0;5.25;1.41
Dijon;Rennes;1;1;5.05;4.0;1.69
OlympiqueLyonnais;OlympiqueMarseille;1;1;1.57;4.1;6.1
Rennes;Reims;2;2;1.8;3.45;5.1
Bordeaux;Dijon;3;0;1.67;3.85;5.4
Strasbourg;Lille;0;3;3.2;3.35;2.35
Metz;Lorient;3;1;2.25;3.3;3.35
Brest;Monaco;1;0;2.95;3.75;2.3
Montpellier;Nîmes;0;1;1.71;3.75;5.3
Nice;Nantes;2;1;2.25;3.35;3.4
Lens;Saint-Étienne;2;0;1.77;3.7;4.85
PSG;AngersSCO;6;1;1.1;11.25;19.25
Reims;PSG;0;2;11.75;6.65;1.24
Lorient;OlympiqueLyonnais;1;1;4.9;4.1;1.69
AngersSCO;Brest;3;2;2.15;3.25;3.7
Dijon;Montpellier;2;2;4.7;3.8;1.77
Monaco;Strasbourg;3;2;1.8;3.75;4.55
Nîmes;Lens;1;1;2.9;3.25;2.55
Bordeaux;Nice;0;0;2.15;3.25;3.75
OlympiqueMarseille;Metz;1;1;1.59;3.95;6.25
Saint-Étienne;Rennes;0;3;3.05;3.2;2.5
Lille;Nantes;2;0;1.69;3.75;5.55
OlympiqueMarseille;Lille;1;1;2.5;3.15;3.1
Nantes;Saint-Étienne;2;2;2.5;3.15;3.05
Strasbourg;Dijon;1;0;1.69;3.85;5.35
Montpellier;AngersSCO;4;1;2.05;3.35;4.0
Metz;Reims;2;1;2.6;2.85;3.25
Brest;Lorient;3;2;2.4;3.3;3.15
Nice;PSG;0;3;8.25;5.15;1.38
Rennes;Monaco;2;1;2.35;3.5;3.2
Lens;Bordeaux;2;1;2.35;3.05;3.45
OlympiqueLyonnais;Nîmes;0;0;1.31;5.8;9.25
OlympiqueMarseille;Saint-Étienne;0;2;1.77;3.55;5.15
PSG;Metz;1;0;1.26;6.2;11.25
Montpellier;OlympiqueLyonnais;2;1;4.0;3.6;1.95
PSG;OlympiqueMarseille;0;1;1.56;4.45;5.8
Monaco;Nantes;2;1;1.91;3.5;4.4
Nîmes;Rennes;2;4;3.25;3.3;2.35
Lorient;Lens;2;3;2.25;3.2;3.55
Dijon;Brest;0;2;2.8;3.2;2.7
AngersSCO;Reims;1;0;2.35;3.0;3.55
Lille;Metz;1;0;1.61;3.65;6.65
Saint-Étienne;Strasbourg;2;0;2.1;3.25;3.9
Montpellier;Nice;3;1;2.05;3.4;3.8
Bordeaux;OlympiqueLyonnais;0;0;4.55;3.55;1.87
Lens;PSG;1;0;4.8;4.0;1.71
Brest;OlympiqueMarseille;2;3;3.8;3.6;2.0
Saint-Étienne;Lorient;2;0;2.35;3.25;3.25
Nantes;Nîmes;2;1;2.05;3.35;4.0
Metz;Monaco;0;1;3.9;3.7;1.95
AngersSCO;Bordeaux;0;2;2.3;3.1;3.5
Reims;Lille;0;1;3.05;3.0;2.65
Strasbourg;Nice;0;2;2.1;3.4;3.6
Rennes;Montpellier;2;1;1.91;3.45;4.35
OlympiqueLyonnais;Dijon;4;1;1.25;6.3;12.0
Nice;Lens;2;1;2.1;3.3;3.85
Lorient;Strasbourg;3;1;2.5;3.15;3.1
